Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
TWF2	-0.021523966	0.775302566	0.882984535	178	178
TWIST1	-0.243853525	0.001069913	0.009951301	178	178
TWIST2	0.018842913	0.802677451	0.899067856	178	177
TWISTNB	-0.141852279	0.058922072	0.184035543	178	178
TWSG1	-0.036980472	0.624082438	0.788134252	178	178
LOC388387	0.795814207	3.42E-40	5.04E-38	178	144
TXLNA	-0.102577115	0.173038744	0.371920447	178	178
TXLNB	0.053466804	0.478071971	0.682903047	178	177
TXLNG	0.033599346	0.655849513	0.809182521	178	178
TXN2	-0.025572171	0.734740006	0.858013871	178	178
TXNDC11	0.159453618	0.033502395	0.124760144	178	178
TXNDC12	-0.131422762	0.080353659	0.226599152	178	178
TXNDC15	0.046685441	0.535686371	0.72488013	178	178
TXNDC16	0.21751111	0.003602816	0.024935974	178	178
TXNDC17	-0.019425935	0.796702729	0.896124088	178	178
TXNDC2	0.026386609	0.726622449	0.854336563	178	147
TXNDC3	0.200746875	0.007213244	0.041415485	178	166
TXNDC5	0.061178058	0.417235406	0.631828222	178	178
FAM150B	0.799250156	9.04E-41	1.34E-38	178	176
TXNDC9	-0.079770919	0.289542408	0.50785938	178	178
TXNIP	-0.063210094	0.401544499	0.617141375	178	178
TXNL1	0.186920601	0.012478293	0.061640212	178	178
TXNL4A	0.047092944	0.532484315	0.722896573	178	178
SLC30A2	0.802331458	2.68E-41	4.02E-39	178	175
TXNRD1	-0.027522292	0.715097582	0.846980509	178	178
TXNRD2	-0.031984348	0.671692348	0.819879289	178	178
TXNRD3IT1	0.143447081	0.056103555	0.178502285	178	178
TXN	-0.170885339	0.022570117	0.094495339	178	178
TYK2	-0.050045323	0.507074594	0.704432557	178	178
TYMP	-0.03811141	0.613509058	0.780488696	178	178
TYMS	-0.232076163	0.001826154	0.014854077	178	178
GSTA2	0.802552224	2.46E-41	3.71E-39	178	170
TYROBP	0.176961239	0.018232328	0.081181279	178	178
TYRP1	0.078692951	0.296430683	0.515080872	178	173
TYR	0.014668118	0.845918427	0.921963896	178	59
TYSND1	0.047220638	0.531372235	0.722040639	178	178
TYW1B	0.021064357	0.779976769	0.885858877	178	178
TYW1	-0.206156326	0.005765808	0.035385813	178	178
TYW3	0.093240021	0.215527646	0.424952007	178	178
T	-0.045178583	0.549295081	0.734966223	178	50
U2AF1L4	-0.124514724	0.097703367	0.258390581	178	178
U2AF1	-0.051373029	0.495493511	0.695428255	178	178
U2AF2	-0.173656734	0.020544269	0.08823113	178	178
UACA	-0.017004476	0.821591064	0.909434712	178	178
UAP1L1	-0.1142938	0.128735114	0.307329245	178	178
UAP1	-0.187155626	0.012465571	0.061623552	178	178
UBA1	-0.183325744	0.014308082	0.068191855	178	178
UBA2	-0.015586292	0.836404605	0.916555096	178	178
UBA3	0.045823674	0.543249065	0.730861819	178	178
UBA52	-0.010042248	0.894065797	0.946173779	178	178
UBA5	0.17779785	0.017579568	0.079166109	178	178
UBA6	-0.162075008	0.030761575	0.117541909	178	178
UBA7	0.019900439	0.791848796	0.892856138	178	178
UBAC1	-0.122546555	0.103185167	0.267621422	178	178
UBAC2	-0.206393468	0.005708763	0.035101082	178	178
UBAP1	-0.022878336	0.761795141	0.873969431	178	178
UBAP2L	-0.134733724	0.072958111	0.212854172	178	178
UBAP2	-0.097885105	0.193644397	0.39828628	178	178
UBASH3A	0.148457116	0.047964423	0.160373437	178	178
UBASH3B	-0.022470846	0.765698473	0.876362887	178	178
UBB	0.085463948	0.256679362	0.471532674	178	178
UBC	-0.205366685	0.005959449	0.036270281	178	178
UBD	0.226275722	0.002388527	0.018334911	178	178
UBE2A	-0.07799423	0.300753466	0.519805877	178	178
UBE2B	-0.012629677	0.8669952	0.933309548	178	178
UBE2CBP	0.06911905	0.358921702	0.577410902	178	178
AQP12B	0.803448433	1.72E-41	2.62E-39	178	158
UBE2D1	0.016581066	0.826123833	0.911747093	178	178
UBE2D2	-0.159052693	0.033955848	0.126040254	178	178
UBE2D3	-0.056126699	0.456794958	0.66656804	178	178
UBE2D4	0.231241934	0.001944684	0.015565254	178	178
UBE2DNL	0.040208912	0.594109783	0.766968022	178	7
UBE2E1	0.023101782	0.759539468	0.872850203	178	178
UBE2E2	-0.144352393	0.054616668	0.175579578	178	178
UBE2E3	-0.014829851	0.844240935	0.921303546	178	178
UBE2F	0.133533632	0.075572181	0.217543071	178	178
UBE2G1	-0.013892568	0.853971862	0.926022734	178	178
UBE2G2	0.043512861	0.563785377	0.745596704	178	178
UBE2H	-0.036561292	0.628021191	0.790440574	178	178
UBE2I	-0.20466674	0.006135929	0.03695762	178	178
UBE2J1	0.095467849	0.204725626	0.411867386	178	178
UBE2J2	-0.093030481	0.216786826	0.42632348	178	178
UBE2K	-0.194992491	0.009099809	0.049190714	178	178
UBE2L3	-0.113696003	0.130760111	0.310726451	178	178
UBE2L6	0.094372022	0.209989031	0.418285796	178	178
UBE2MP1	-0.076898361	0.307302341	0.526659429	178	178
UBE2M	-0.175356862	0.019324899	0.084504765	178	178
UBE2NL	0.022634989	0.764254001	0.875013526	178	161
UBE2N	-0.208045833	0.005325097	0.033308416	178	178
UBE2O	-0.063290984	0.401301068	0.616839177	178	178
UBE2Q1	-0.105175245	0.162351921	0.357380262	178	178
UBE2Q2P1	0.171965117	0.021823136	0.092291692	178	178
UBE2Q2	0.024482713	0.745644679	0.864925083	178	178
UBE2QL1	-0.185623595	0.013213887	0.064400928	178	178
UBE2R2	0.052010339	0.490519632	0.691367951	178	178
SLC38A3	0.805092946	8.88E-42	1.36E-39	178	176
UBE2T	-0.225305316	0.002549754	0.019251181	178	178
TRIM50	0.810025072	1.18E-42	1.82E-40	178	163
UBE2V1	-0.142799236	0.05723478	0.180763542	178	178
UBE2V2	-0.033729143	0.654605641	0.808707481	178	178
UBE2W	0.095543438	0.204572319	0.411761462	178	178
UBE2Z	-0.037805064	0.616365415	0.782902254	178	178
UBE3A	0.111097871	0.139846738	0.32467197	178	178
UBE3B	0.013742535	0.855531606	0.926974355	178	178
UBE3C	0.03000333	0.6906776	0.831595337	178	178
UBE4A	0.133680381	0.075248519	0.216963042	178	178
UBE4B	0.226354451	0.002379943	0.018290321	178	178
UBFD1	-0.020064313	0.790368491	0.892136567	178	178
UBIAD1	0.023459231	0.755935258	0.870478907	178	178
UBL3	0.227266223	0.002282554	0.017713982	178	178
UBL4A	0.041216943	0.584550304	0.760103748	178	178
UBL4B	-0.118956053	0.113761231	0.284661734	178	126
UBL5	-0.146182474	0.051528833	0.16861346	178	178
UBL7	-0.015590548	0.836360563	0.916555096	178	178
UBLCP1	0.051925254	0.491230445	0.691901252	178	178
UBN1	-0.058978954	0.434205939	0.647901315	178	178
UBN2	0.06943617	0.357061117	0.576275426	178	178
UBOX5	-0.086588455	0.250188192	0.464527823	178	178
UBP1	0.12377637	0.099719965	0.262076368	178	178
UBQLN1	-0.151280978	0.043827521	0.150589991	178	178
UBQLN2	-0.138690337	0.064854998	0.197026076	178	178
UBQLN3	-0.004992879	0.947262849	0.974313424	178	13
UBQLN4	-0.012774376	0.865609755	0.932325687	178	178
UBQLNL	0.090671742	0.228479435	0.440005715	178	177
UBR1	0.149061259	0.047129193	0.15849195	178	178
TRY6	0.820828067	1.13E-44	1.77E-42	178	174
UBR3	0.194428722	0.009306284	0.04990901	178	178
UBR4	-0.020916507	0.781683918	0.887187918	178	178
UBR5	0.05522864	0.463674101	0.671895916	178	178
UBR7	0.141395937	0.059749686	0.185915074	178	178
UBTD1	0.017138547	0.820375171	0.908546549	178	178
UBTD2	0.111460546	0.138449562	0.322846534	178	178
UBTFL1	-0.098957794	0.188782902	0.391525125	178	5
UBTF	0.098792779	0.189524897	0.392631254	178	178
UBXN10	-0.184953332	0.013553494	0.065550883	178	178
UBXN11	-0.172977959	0.021049408	0.08984049	178	178
UBXN1	-0.047548298	0.528524029	0.720016132	178	178
UBXN2A	0.193392267	0.009790291	0.051721405	178	178
UBXN2B	0.234611462	0.001620623	0.013584657	178	178
UBXN4	0.095201922	0.206202514	0.413492395	178	178
UBXN6	0.055286091	0.463208681	0.671498854	178	178
UBXN7	0.100515092	0.181884826	0.38380008	178	178
UBXN8	0.220075133	0.003219497	0.022933115	178	178
UCA1	0.018237645	0.809069688	0.902699543	178	174
UCHL1	0.095108248	0.206442228	0.413783237	178	178
UCHL3	-0.03033743	0.687689347	0.829624132	178	178
UCHL5	0.035232486	0.640576222	0.799164304	178	178
UCK1	0.176079351	0.018721022	0.082779402	178	178
UMOD	0.845100638	9.66E-50	1.52E-47	178	87
UCKL1AS	-0.058897002	0.434480491	0.648017591	178	178
UCKL1	-0.185925943	0.01296279	0.06346279	178	178
UCMA	0.106441873	0.157324524	0.350883729	178	35
UCN2	-0.097012853	0.197664191	0.402825075	178	175
UCN3	0.230314682	0.001982643	0.015808384	178	171
UCN	-0.109075936	0.147245505	0.335626414	178	170
UCP1	0.020615908	0.784744257	0.88889172	178	53
UCP2	-0.112001013	0.13653791	0.320348911	178	178
UCP3	0.088359959	0.240852347	0.454281613	178	178
UEVLD	0.031182142	0.67918427	0.824747589	178	178
UFC1	0.030456556	0.68625012	0.828595583	178	178
UFD1L	-0.143485382	0.056037259	0.178377457	178	178
UFM1	-0.115895047	0.12343	0.299142642	178	178
UFSP1	-0.052945488	0.482378296	0.686083991	178	178
UFSP2	0.110022198	0.143746778	0.330555737	178	178
UGCG	0.08278604	0.271654216	0.488430485	178	178
UGDH	-0.193789208	0.009545506	0.0508083	178	178
UGGT1	0.154821268	0.039155833	0.139809938	178	178
UGGT2	0.122900903	0.102184896	0.266244496	178	178
UGP2	0.127389545	0.090165518	0.244807489	178	178
UGT1A10	-0.051577428	0.494141919	0.694369124	178	169
UGT1A1	0.014215389	0.850617751	0.924131389	178	158
UGT1A3	-0.096719428	0.199029963	0.40485737	178	104
UGT1A4	-0.064524743	0.392166753	0.608737371	178	60
UGT1A5	-0.036313294	0.63035642	0.791982028	178	39
UGT1A6	-0.059809091	0.427753777	0.641760485	178	174
UGT1A7	-0.058883763	0.434949348	0.648345543	178	55
UGT1A8	-0.077297906	0.305102647	0.524526146	178	157
UGT1A9	-0.11424267	0.128907364	0.307587724	178	158
UGT2A1	0.016059133	0.831514326	0.914812615	178	57
REG1A	0.867638235	2.68E-55	4.24E-53	178	174
UGT2B10	0.064267075	0.394064038	0.610675727	178	112
UGT2B11	0.212849959	0.004337309	0.028573749	178	116
GUCA1C	0.87691146	6.87E-58	1.10E-55	178	83
UGT2B28	0.043669805	0.562724594	0.744899994	178	58
UGT2B4	0.076152556	0.312345964	0.531388548	178	114
PTF1A	0.879717061	1.03E-58	1.65E-56	178	114
UGT3A1	0.113755317	0.1305581	0.31044443	178	86
UGT3A2	0.065556514	0.384624736	0.601135752	178	154
UGT8	-0.092410171	0.219653795	0.429574309	178	178
UHMK1	0.031445992	0.676621758	0.823152371	178	178
UHRF1BP1L	0.005092941	0.946207525	0.973633116	178	178
REG3A	0.885669175	1.55E-60	2.51E-58	178	169
UHRF1	-0.174671704	0.019808537	0.086017575	178	178
UHRF2	0.019844063	0.792617285	0.893366063	178	178
UIMC1	0.134629461	0.073182271	0.21340602	178	178
ULBP1	-0.135495485	0.071337227	0.209840162	178	177
ULBP2	-0.150755004	0.044654857	0.152769055	178	178
ULBP3	-0.042289364	0.574807063	0.753397379	178	178
ULK1	0.112079742	0.136261138	0.319810509	178	178
ULK2	0.238545804	0.001343156	0.011862241	178	178
ULK3	-0.050170864	0.506008293	0.70394034	178	178
ULK4	-0.071876706	0.340035426	0.558715726	178	178
UMODL1	-0.127290675	0.09041754	0.245191335	178	133
CELP	0.886021583	1.20E-60	1.96E-58	178	119
UMPS	-0.017569431	0.815938485	0.906221501	178	178
UNC119B	0.204493105	0.006260827	0.03743477	178	178
UNC119	-0.057274569	0.447626384	0.659024951	178	178
UNC13A	0.206673277	0.005642104	0.03474524	178	178
UNC13B	0.135930697	0.070424391	0.208063933	178	178
UNC13C	0.18076023	0.015753538	0.073141693	178	129
UNC13D	0.028871345	0.702047682	0.838353214	178	178
UNC45A	0.082977544	0.270544024	0.487327741	178	178
UNC45B	0.174087286	0.02012413	0.087094452	178	146
UNC50	0.097876698	0.193682855	0.398293515	178	178
UNC5A	0.032640781	0.665356596	0.816176261	178	178
UNC5B	-0.140003202	0.062334813	0.191577339	178	178
GP2	0.896238419	4.91E-64	8.10E-62	178	174
UNC5C	-0.082167019	0.27555182	0.492143159	178	175
UNC5D	0.196942986	0.008416396	0.046393539	178	149
PNLIPRP2	0.911881606	5.66E-70	9.40E-68	178	151
UNC93A	-0.089856239	0.232947638	0.445527284	178	146
UNC93B1	-0.030228879	0.688472927	0.830265516	178	178
UNG	-0.018945048	0.801629946	0.898199827	178	178
UNKL	-0.053022118	0.482109282	0.685843809	178	178
UNK	0.07080645	0.347628163	0.566413916	178	178
UOX	0.197925932	0.008089557	0.045144451	178	149
UPB1	0.020761529	0.7832613	0.887798927	178	172
UPF0639	-0.019794092	0.793127731	0.893788554	178	139
UPF1	-0.023151761	0.759035208	0.87242282	178	178
UPF2	0.208888452	0.005138477	0.032409329	178	178
UPF3A	-0.003879018	0.959016233	0.980025574	178	178
UPF3B	-0.0686382	0.362627248	0.580861368	178	178
UPK1A	0.0030939	0.967306213	0.984026806	178	142
AMY2A	0.917798097	1.63E-72	2.73E-70	178	174
UPK2	-0.088905951	0.237946498	0.451240346	178	161
UPK3A	-0.070646582	0.348720513	0.567632837	178	167
UPK3BL	-0.140085475	0.062179594	0.191219174	178	173
UPK3B	0.012536053	0.867972226	0.93380211	178	177
UPP1	-0.112759641	0.133981095	0.316354216	178	178
UPP2	0.063220209	0.401828877	0.61729057	178	149
UPRT	0.177770969	0.017596947	0.079190728	178	178
UQCC	-0.179808358	0.016321361	0.074916106	178	178
UQCR10	-0.100006543	0.184116762	0.38636579	178	178
UQCR11	-0.077878306	0.301474667	0.52053262	178	178
UQCRB	0.068074363	0.366592508	0.584538837	178	178
UQCRC1	-0.022226147	0.768177068	0.878437043	178	178
UQCRC2	0.016840661	0.823445762	0.910280653	178	178
UQCRFS1	-0.011863662	0.874994846	0.937328571	178	178
UQCRHL	-0.188440929	0.011768456	0.059063311	178	178
UQCRH	-0.170950146	0.022623032	0.094636732	178	178
UQCRQ	-0.043029846	0.568124446	0.748266396	178	178
URB1	-0.055695726	0.460264169	0.66940745	178	178
URB2	-0.087192802	0.247147	0.461568264	178	178
URGCP	-0.04404491	0.559371182	0.742598573	178	178
URM1	-0.085423564	0.256905006	0.471771878	178	178
UROC1	-0.004248367	0.955117784	0.977980372	178	117
UROD	0.040416883	0.591868408	0.765486505	178	178
UROS	0.076192087	0.312094108	0.531280035	178	178
USE1	-0.021622944	0.774505073	0.88282179	178	178
USF1	-0.121352783	0.106571881	0.27320957	178	178
USF2	0.020084506	0.790162405	0.89207373	178	178
USH1C	-0.209950964	0.004984759	0.031793012	178	177
CELA2A	0.921171508	4.74E-74	8.01E-72	178	148
USH2A	-0.020378146	0.787167208	0.890559279	178	177
REG1B	0.93209062	1.55E-79	2.63E-77	178	157
USMG5	-0.039980679	0.595875857	0.768463393	178	178
USO1	0.016629988	0.825618979	0.911306788	178	178
USP10	-0.019601512	0.795095745	0.895355497	178	178
USP11	-0.088722706	0.238919005	0.452287014	178	178
USP12	0.010774218	0.886393823	0.942388864	178	178
USP13	-0.047513189	0.528828849	0.720198072	178	178
USP14	-0.133882666	0.074804207	0.216412187	178	178
USP15	0.065861393	0.38241309	0.599370102	178	178
USP16	0.077064331	0.306257112	0.525460141	178	178
USP17L2	0.114396523	0.128389592	0.306743041	178	47
USP17L6P	0.012477596	0.868703537	0.934131478	178	3
USP17	0.080892041	0.283095696	0.500485855	178	3
USP18	-0.118364385	0.115582506	0.287286154	178	178
USP19	0.020017469	0.790652861	0.892169007	178	178
USP1	-0.002801275	0.970377845	0.985984868	178	178
USP20	0.020363251	0.787319064	0.890592482	178	178
USP21	-0.070833085	0.347446376	0.566188451	178	178
USP22	0.067899846	0.36782524	0.585567782	178	178
USP24	0.186081274	0.012886058	0.063243711	178	178
USP25	0.164012475	0.028697382	0.112279784	178	178
USP26	-0.025112428	0.739335379	0.861348801	178	26
USP27X	0.142582046	0.05767545	0.181719939	178	178
REG3G	0.933842362	1.68E-80	2.88E-78	178	145
USP29	0.168163641	0.02484659	0.101281484	178	3
PNLIP	0.937157427	2.11E-82	3.65E-80	178	161
REG1P	0.938151155	5.41E-83	9.47E-81	178	116
USP31	0.084530853	0.261653341	0.477476297	178	178
USP32	0.1350241	0.072336757	0.21158239	178	178
USP33	0.084544819	0.261848887	0.477700885	178	178
USP34	0.152627486	0.042047058	0.146431582	178	178
USP35	-0.070019118	0.352686669	0.571812903	178	178
USP36	-0.052628443	0.485007454	0.687937551	178	178
USP37	-0.05803949	0.441208665	0.653780664	178	178
USP38	0.036065586	0.632692579	0.793886862	178	178
USP39	-0.150411441	0.045068293	0.153932908	178	178
USP3	0.16604552	0.026854742	0.107212934	178	178
USP40	0.133084733	0.076569254	0.219368361	178	178
USP42	-0.059109815	0.433185148	0.646988754	178	178
USP43	0.071344751	0.343628461	0.562120217	178	178
CELA2B	0.940333257	2.53E-84	4.46E-82	178	136
USP45	0.109174262	0.146878978	0.33517173	178	178
USP46	0.161455984	0.031313828	0.119012041	178	178
USP47	0.142242734	0.058221461	0.182683461	178	178
USP48	0.042487274	0.573358829	0.75247876	178	178
USP49	0.1736899	0.020414662	0.087836161	178	178
USP4	0.064156974	0.394518411	0.611092516	178	178
USP50	0.061336291	0.416029454	0.630436541	178	43
AQP8	0.942906035	5.85E-86	1.04E-83	178	158
USP53	0.08233707	0.274269136	0.491027423	178	178
USP54	-0.133692013	0.075245779	0.216963042	178	178
USP5	-0.096073265	0.202061658	0.40890572	178	178
USP6NL	0.013061625	0.862490195	0.931011602	178	178
USP6	-0.003588571	0.962082573	0.981576861	178	178
USP7	-0.043967174	0.560065343	0.743033908	178	178
USP8	0.10307609	0.170946877	0.369391711	178	178
USP9X	0.118539805	0.114983685	0.286430761	178	178
USP9Y	0.065150159	0.387584543	0.604090546	178	121
USPL1	-0.044605521	0.554377363	0.738597088	178	178
UST	0.106530387	0.156844703	0.350208577	178	178
UTF1	-0.037313368	0.620962011	0.785900077	178	88
UTP11L	-0.02000366	0.790987602	0.892292135	178	178
UTP14A	0.019805783	0.793008302	0.893704899	178	178
UTP14C	0.039678529	0.598658933	0.77044463	178	178
UTP15	-0.091237791	0.225812644	0.437272497	178	178
UTP18	-0.011584924	0.87802104	0.938536572	178	178
UTP20	0.049157968	0.514284556	0.710257216	178	178
UTP23	0.034345184	0.649017208	0.805277954	178	178
UTP3	-0.12996421	0.08379768	0.233021422	178	178
UTP6	-0.130204654	0.08322191	0.23198954	178	178
UTRN	0.226722444	0.00239152	0.018343644	178	178
UTS2D	0.070646551	0.348720729	0.567632837	178	173
RBPJL	0.947868552	2.44E-89	4.39E-87	178	124
UTS2	-0.045488711	0.5465542	0.733213212	178	142
UTY	0.048672665	0.518809327	0.713607727	178	117
UVRAG	-0.022357043	0.767065336	0.877470204	178	178
UXS1	-0.154339481	0.039688154	0.141113889	178	178
UXT	-0.116870654	0.120281651	0.29401111	178	178
VAC14	-0.075108905	0.319043143	0.537831126	178	178
VAMP1	-0.013509538	0.857954937	0.928540516	178	178
VAMP2	0.112928803	0.133394737	0.315406856	178	178
VAMP3	-0.048604761	0.519393426	0.713773411	178	178
VAMP4	-0.055156352	0.464626483	0.672721911	178	178
VAMP5	0.016019295	0.831769799	0.914812615	178	178
VAMP7	0.131878116	0.079302112	0.224433943	178	178
VAMP8	0.126276559	0.093022155	0.249646257	178	178
VANGL1	0.073906685	0.326872501	0.545587645	178	178
VANGL2	0.173873771	0.020384983	0.087775955	178	178
VAPA	-0.048714344	0.518450987	0.713519614	178	178
VAPB	-0.052973206	0.482514062	0.686214379	178	178
VARS2	0.053775367	0.475898791	0.681470251	178	178
VARS	-0.076763286	0.30846978	0.527836745	178	178
VASH1	0.122827362	0.102360185	0.266395144	178	178
VASH2	0.014719197	0.845244965	0.921633648	178	178
VASN	0.060238625	0.424437114	0.638722945	178	178
VASP	-0.161136639	0.03175268	0.120098985	178	178
SERPINI2	0.948557828	7.80E-90	1.42E-87	178	147
VAT1	-0.037128356	0.622695408	0.78728766	178	178
VAV1	0.059592831	0.429429287	0.643346823	178	178
VAV2	0.100443864	0.182196232	0.384211186	178	178
SYCN	0.948964476	3.95E-90	7.23E-88	178	141
VAX1	0.017368237	0.818009404	0.907145866	178	32
VAX2	0.154491456	0.039579478	0.140853174	178	178
VBP1	-0.029723553	0.693688223	0.833656918	178	178
VCAM1	0.228354482	0.002220387	0.017292605	178	178
VCAN	0.029342657	0.697420003	0.83590636	178	178
VCL	-0.031314117	0.678185217	0.824027412	178	178
VCPIP1	0.070451066	0.349718771	0.568882773	178	178
VCP	-0.189529411	0.011282299	0.05729229	178	178
VCX2	-0.087264498	0.246757072	0.461144915	178	6
VCX3A	-0.005755606	0.939221005	0.969762356	178	125
VCX3B	0.012748612	0.865878246	0.932411721	178	56
VCX	-0.037613858	0.618151139	0.784048789	178	49
VDAC1	-0.192707109	0.010056978	0.052693087	178	178
VDAC2	-0.023675218	0.753759981	0.869949797	178	178
VDAC3	-0.013453144	0.858410672	0.928669036	178	178
VDR	-0.195509656	0.00891398	0.048517766	178	178
VEGFA	-0.171826808	0.021930677	0.092582665	178	178
VEGFB	0.006799464	0.928225162	0.96309814	178	178
VEGFC	-0.085533056	0.256024674	0.471086788	178	178
VENTXP7	0.06467476	0.391064675	0.607837831	178	15
VENTX	0.118692007	0.114571232	0.28592392	178	178
CLPS	0.949227863	2.53E-90	4.68E-88	178	162
VEZF1	0.203350682	0.006480432	0.038343525	178	178
VEZT	0.00674945	0.928751716	0.96355498	178	178
VGF	0.207493332	0.005527225	0.034241848	178	178
VGLL1	0.007755192	0.918169523	0.958525954	178	170
VGLL2	0.002653364	0.971959374	0.986780544	178	69
VGLL3	0.033450417	0.657574708	0.810274329	178	178
VGLL4	-0.017651333	0.814923915	0.90570512	178	178
VHLL	-0.081058988	0.282100076	0.499306024	178	29
VHL	0.12110602	0.107331267	0.27445603	178	178
VIL1	0.042653222	0.571518748	0.750711553	178	178
VILL	-0.064801703	0.389776919	0.606312837	178	178
VIM	-0.048677081	0.518412168	0.713519614	178	178
VIPAR	0.018365227	0.807759869	0.901984938	178	178
VIPR1	-0.082131779	0.275758487	0.492356507	178	178
PLA2G1B	0.951805563	2.90E-92	5.40E-90	178	171
CELA3B	0.952208626	1.41E-92	2.65E-90	178	157
VIT	0.143469116	0.056065407	0.178438333	178	167
VKORC1L1	-0.135328595	0.071689812	0.21051297	178	178
VKORC1	0.015693747	0.835292713	0.916213265	178	178
VLDLR	0.231237679	0.001945066	0.015565254	178	178
VMA21	-0.02638178	0.726423009	0.854200474	178	178
VMAC	-0.029641616	0.694490372	0.834164649	178	178
VMO1	0.101327866	0.178191414	0.37867351	178	178
VN1R1	0.007064371	0.925436752	0.961668355	178	178
VN1R2	0.044056194	0.559270453	0.742566817	178	16
VN1R5	0.051696544	0.493143829	0.693508717	178	52
VNN1	0.104540875	0.164768353	0.360548969	178	178
CELA3A	0.962811285	5.81E-102	1.11E-99	178	165
PNLIPRP1	0.965096081	2.42E-104	4.65E-102	178	144
CTRB2	0.966427474	8.38E-106	1.63E-103	178	166
VPRBP	0.0440512	0.558968095	0.742394193	178	178
VPREB1	-0.158889346	0.034142082	0.126589506	178	21
VPREB3	0.01281696	0.865166007	0.932033163	178	175
VPS11	0.110070074	0.143571455	0.330237125	178	178
VPS13A	0.104794086	0.163743573	0.359044734	178	178
VPS13B	0.090099359	0.231439475	0.44362972	178	178
VPS13C	0.130379066	0.082806252	0.231305386	178	178
VPS13D	0.188861174	0.011578618	0.05836743	178	178
VPS16	-0.104286711	0.165949692	0.362275745	178	178
VPS18	0.053549818	0.477753856	0.682742267	178	178
VPS24	0.119199492	0.113018414	0.283391594	178	178
VPS25	-0.131102595	0.081099723	0.227890567	178	178
VPS26A	0.061960065	0.411295368	0.625941613	178	178
VPS26B	0.065402952	0.385741642	0.602215003	178	178
VPS28	-0.14816127	0.048416067	0.161555739	178	178
VPS29	-0.004697166	0.950382191	0.97560777	178	178
VPS33A	0.008116571	0.914294584	0.9565158	178	178
VPS33B	0.069153096	0.358684616	0.577152705	178	178
VPS35	-0.017532185	0.816321769	0.906392648	178	178
VPS36	-0.00743674	0.921518737	0.959917374	178	178
VPS37A	-0.017084287	0.820934272	0.908911215	178	178
VPS37B	-0.057530941	0.445226675	0.656768342	178	178
VPS37C	0.071334111	0.343700566	0.562191661	178	178
CPA1	0.966507752	6.82E-106	1.33E-103	178	173
VPS39	0.106679448	0.156394734	0.349401137	178	178
VPS41	0.209719144	0.004960257	0.031691157	178	178
VPS45	-0.001110723	0.988259952	0.994558889	178	178
VPS4A	0.033403587	0.65772731	0.810336438	178	178
VPS4B	0.10989571	0.144210765	0.331275983	178	178
VPS52	0.078068704	0.300290746	0.519233055	178	178
VPS53	-0.010956153	0.884594154	0.941543683	178	178
CTRC	0.967383799	6.87E-107	1.36E-104	178	171
VPS72	-0.134387953	0.073703643	0.214483567	178	178
VPS8	-0.091031392	0.226868644	0.438566874	178	178
VRK1	-0.190160108	0.011105562	0.056682274	178	178
VRK2	0.054872288	0.466933059	0.674591532	178	178
VRK3	-0.144852507	0.05371288	0.173633888	178	178
VSIG10L	-0.040993544	0.5869251	0.761789099	178	178
VSIG10	0.096982857	0.19760679	0.402749605	178	178
VSIG1	0.082792424	0.271617159	0.488430485	178	177
VSIG2	-0.062101565	0.41022589	0.624971453	178	178
CTRB1	0.968303088	5.78E-108	1.15E-105	178	161
VSIG8	-0.169447613	0.023749198	0.098082006	178	167
VSNL1	-0.161566459	0.031295378	0.119012041	178	177
VSTM1	0.239783741	0.001265291	0.011300755	178	138
VSTM2A	0.195565459	0.008894131	0.048453378	178	150
VSTM2B	0.098184662	0.192277703	0.396299699	178	55
VSTM2L	0.04320967	0.566851254	0.747510283	178	178
CPB1	0.970952053	3.00E-111	6.05E-109	178	172
VSX2	-0.069588873	0.356002069	0.575364522	178	79
VTA1	0.018742925	0.803885377	0.900012991	178	178
CPA2	0.973920659	2.59E-115	5.28E-113	178	165
VTI1A	-0.04342458	0.564922072	0.74642123	178	178
VTI1B	0.072385255	0.336622939	0.555356123	178	178
ADORA1	0.616298678	1.00E-115	1.00E-113	178	178
VWA1	0.158098112	0.035150657	0.129243045	178	178
VWA2	0.197258726	0.008310156	0.046003644	178	178
VWA3A	-0.203666081	0.006396335	0.037982321	178	170
VWA3B	-0.17995721	0.016335297	0.074927896	178	178
VWA5A	0.078385708	0.298019072	0.516887039	178	178
VWA5B1	0.090634972	0.228906637	0.440311268	178	169
AKAP7	0.726875115	1.00E-115	1.00E-113	178	178
VWC2L	-0.093474931	0.214589488	0.42385	178	47
VWC2	0.093794077	0.213021495	0.422199764	178	107
VWCE	-0.009558174	0.899236094	0.949055002	178	178
VWDE	0.169612108	0.023611665	0.097656779	178	175
VWF	0.105217578	0.16218198	0.357045922	178	178
WAC	0.178865923	0.016901035	0.076898542	178	178
WAPAL	0.14434183	0.054571616	0.175531153	178	178
WARS2	0.074304588	0.324267606	0.543190295	178	178
WARS	0.037893288	0.615220752	0.781836449	178	178
WASF1	0.012147733	0.872144541	0.935640588	178	178
WASF2	0.061026982	0.418388709	0.632896139	178	178
WASF3	0.227286316	0.002331082	0.017984712	178	178
WASH2P	-0.059609853	0.429297265	0.643246504	178	178
WASH3P	-0.07083092	0.347461154	0.566188451	178	178
WASH5P	-0.102249212	0.174262181	0.373454034	178	178
WASH7P	-0.098431903	0.190967931	0.394628475	178	178
